neuron_id,dimension,scorer_type,rationale
CS-05,CS,llm,"Search Strategy (behavioral): Human employs deliberate, structured search. Latent strategy. LLM-only."
CS-06,CS,llm,"Assumption Surfacing (behavioral): Human uncovers hidden assumptions in the problem. Latent reasoning. LLM-only."
CS-07,CS,llm,"Constraint Recognition (behavioral): Human identifies constraints that bound the problem. Nuanced judgment. LLM-only."
CS-08,CS,llm,"Decomposition (behavioral): Human breaks problem into subproblems. Latent reasoning. LLM-only."
CS-09,CS,llm,"Novelty Seeking (behavioral): Human looks for non-obvious solution angles. Latent creativity. LLM-only."
CS-10,CS,llm,"Multi-Path Exploration (behavioral): Human explores multiple solution paths. Latent strategy. LLM-only."
CS-11,CS,llm,"Depth Trade-off (behavioral): Human balances depth vs breadth in search. Latent judgment. LLM-only."
CD-01,CD,llm,"Generation Volume (behavioral): Human generates multiple options/ideas. Latent effort. LLM-only."
CD-02,CD,llm,"Ideation Quality (behavioral): Human's ideas are creative and well-reasoned. Latent creativity. LLM-only."
CD-03,CD,llm,"Divergent-to-Convergent Transition (behavioral): Human switches from divergent to convergent thinking. Latent strategy. LLM-only."
CD-04,CD,llm,"Constraint Relaxation (behavioral): Human temporarily loosens constraints to explore. Latent meta-strategy. LLM-only."
CD-05,CD,llm,"Recombination (behavioral): Human recombines existing ideas creatively. Latent creativity. LLM-only."
CD-06,CD,llm,"Criticism Tolerance (behavioral): Human tolerates exploring 'bad' ideas. Latent openness. LLM-only."
CD-07,CD,llm,"Novelty Standards (behavioral): Human's novelty bar is calibrated (not too loose, not too rigid). Latent judgment. LLM-only."
CD-08,CD,llm,"Lateral Thinking (behavioral): Human makes unexpected conceptual leaps. Latent creativity. LLM-only."
CD-09,CD,llm,"Analogical Reasoning (behavioral): Human draws parallels across domains. Latent reasoning. LLM-only."
CD-10,CD,llm,"Synthesis (behavioral): Human synthesizes divergent ideas into coherent wholes. Latent reasoning. LLM-only."
CD-11,CD,llm,"Meta-Divergence (behavioral): Human reflects on own divergent-thinking process. Latent meta-awareness. LLM-only."
CA-01,CA,llm,"Relevance to Goal (behavioral): Human filters ideas against original goal. Nuanced judgment. LLM-only."
CA-02,CA,llm,"Integration (behavioral): Human integrates solution into their own context. Latent reasoning. LLM-only."
CA-03,CA,llm,"Feasibility Judgment (behavioral): Human evaluates whether solution is feasible. Nuanced judgment. LLM-only."
CA-04,CA,llm,"Risk Estimation (behavioral): Human estimates implementation risks. Nuanced judgment. LLM-only."
CA-05,CA,llm,"Cost-Benefit Analysis (behavioral): Human weighs costs and benefits. Latent reasoning. LLM-only."
CA-06,CA,llm,"Iteration on Solution (behavioral): Human iterates on AI's solution. Nuanced judgment. LLM-only."
CA-07,CA,llm,"Adaptation (behavioral): Human adapts solution to constraints. Latent reasoning. LLM-only."
CA-08,CA,llm,"Ownership Transition (behavioral): Human transitions from idea to agency/ownership. Latent intention. LLM-only."
CA-09,CA,llm,"Dependency Mapping (behavioral): Human identifies dependencies and prerequisites. Nuanced judgment. LLM-only."
CA-10,CA,llm,"Robustness Testing (behavioral): Human stress-tests the solution. Latent skepticism. LLM-only."
CA-11,CA,llm,"Contingency Planning (behavioral): Human plans for failure modes. Latent foresight. LLM-only."
CA-12,CA,llm,"Communication Clarity (behavioral): Human explains solution clearly. Nuanced judgment. LLM-only."
CA-13,CA,llm,"Stakeholder Consideration (behavioral): Human considers impact on others. Latent empathy. LLM-only."
CA-14,CA,llm,"Documentation (behavioral): Human documents solution for future use. Latent diligence. LLM-only."
CA-15,CA,llm,"Timeline Estimation (behavioral): Human realistically estimates effort/duration. Latent judgment. LLM-only."
CA-16,CA,llm,"Alignment Check (behavioral): Human ensures solution aligns with original intent. Nuanced judgment. LLM-only."
CA-17,CA,llm,"Authority Chain (behavioral): Human engages correct stakeholders for approval. Latent judgment. LLM-only."
AUI-01,AUI,setfit,"Utility Articulation (behavioral): Human explicitly states what they find useful about AI. Classification-shaped, learnable from labels. SetFit candidate."
AUI-02,AUI,setfit,"Failure Mode Recognition (behavioral): Human identifies when AI fails/becomes unhelpful. Classification-shaped. SetFit candidate."
AUI-03,AUI,setfit,"Delegation Boundaries (behavioral): Human has clear sense of what to delegate vs retain. Classification-shaped. SetFit candidate."
AUI-04,AUI,setfit,"Efficiency Gain (behavioral): Human perceives and articulates time/effort savings. Classification-shaped. SetFit candidate."
AUI-05,AUI,setfit,"Capability Model (behavioral): Human has accurate mental model of AI capabilities. Classification-shaped. SetFit candidate."
AUI-06,AUI,setfit,"Augmentation Mindset (behavioral): Human treats AI as tool, not replacement. Classification-shaped. SetFit candidate."
AUI-07,AUI,setfit,"Problem Selection (behavioral): Human offloads appropriate problems to AI. Classification-shaped. SetFit candidate."
AUI-08,AUI,setfit,"Hybrid Solution (behavioral): Human combines own thinking with AI output. Classification-shaped. SetFit candidate."
AUI-09,AUI,setfit,"Comparative Judgment (behavioral): Human explicitly compares AI output to alternatives. Classification-shaped. SetFit candidate."
AUI-10,AUI,setfit,"Iterative Use (behavioral): Human iteratively refines problem through AI. Classification-shaped. SetFit candidate."
AUI-11,AUI,setfit,"Domain-Specific Application (behavioral): Human applies AI to their specific domain. Classification-shaped. SetFit candidate."
AUI-12,AUI,setfit,"Confidence Calibration (behavioral): Human calibrates trust in AI by domain. Classification-shaped. SetFit candidate."
AUI-13,AUI,setfit,"Augmentation vs Replacement (behavioral): Human uses AI to augment, not replace, own thinking. Classification-shaped. SetFit candidate."
AUI-14,AUI,setfit,"Learning from AI (behavioral): Human learns from AI interactions, grows capability. Classification-shaped. SetFit candidate."
AUI-15,AUI,setfit,"Critique Integration (behavioral): Human integrates critical feedback on AI output. Classification-shaped. SetFit candidate."
AUI-16,AUI,setfit,"Upskilling Awareness (behavioral): Human aware of own skill development through AI. Classification-shaped. SetFit candidate."
AUI-17,AUI,setfit,"Synergistic Collaboration (behavioral): Human and AI work together as equals. Classification-shaped. SetFit candidate."
